Institution,Recs,LCS,GCS
Uppsala Univ,8,200,801
Zool Forsch Museum Alexander Koenig,8,92,414
Auburn Univ,7,5,109
Australian Inst Marine Sci,7,28,348
Biovers Int,7,7,138
Bursa Tech Univ,7,11,72
Carleton Univ,7,0,61
CIBIO,7,2,76
Columbia Univ,7,661,2091
Conservat Int,7,25,380
CSIR Natl Bot Res Inst,7,1,41
CSIRO Ecosyst Sci,7,106,613
Ctr Dis Control & Prevent,7,6,191
Educ Univ Hong Kong,7,0,110
Fiocruz MS,7,0,345
Free Univ Berlin,7,21,201
Gansu Agr Univ,7,0,53
Goethe Univ,7,3,159
Gorgan Univ Agr Sci & Nat Resources,7,10,204
Hankyong Natl Univ,7,0,134
IFREMER,7,12,203
Ilia State Univ,7,1,82
Indian Inst Technol,7,36,126
Indian Space Res Org,7,4,82
Inst Fed Goiano,7,5,110
Inst Pesquisas Jardim Bot Rio De Janeiro,7,84,516
Jodhpur Inst Engn & Technol,7,9,83
Kookmin Univ,7,0,23
Kyung Hee Univ,7,9,249
Leiden Univ,7,1,247
Masaryk Univ,7,4,113
Minist Ecol & Environm,7,0,99
Minist Environm,7,12,98
Nelson Mandela Univ,7,8,108
Newcastle Univ,7,21,133
Norwegian Inst Nat Res,7,42,211
Pilot Natl Lab Marine Sci & Technol Qingdao,7,0,296
Qatar Univ,7,0,279
Qingdao Agr Univ,7,3,56
Qiongtai Normal Univ,7,0,78
Recep Tayyip Erdogan Univ,7,4,44
Res Inst Nat & Forest INBO,7,34,257
Shandong Univ,7,10,201
Sichuan Agr Univ,7,13,246
Smithsonian Inst,7,11,288
Sokoine Univ Agr,7,10,183
South African Natl Biodivers Inst,7,8,49
Southern Illinois Univ,7,11,125
Stn Zool Anton Dohrn,7,5,171
Taizhou Univ,7,21,148
Tecnol Nacl Mexico,7,0,43
Temple Univ,7,105,550
Tianjin Normal Univ,7,9,157
Uniformed Serv Univ Hlth Sci,7,18,205
Univ Autonoma Madrid,7,1,51
Univ Aveiro,7,2,82
Univ Basel,7,94,665
Univ Bonn,7,9,160
Univ Catania,7,0,79
Univ Cent Oklahoma,7,22,125
Univ East Anglia,7,4,228
Univ Estado Mato Grosso,7,11,247
Univ Estadual Goias,7,13,112
Univ Fed Santa Maria,7,2,106
Univ Fed Vales Jequitinhonha & Mucuri UFVJM,7,4,60
Univ Free State,7,0,48
Univ Grenoble 1,7,276,4071
Univ Joseph KI ZERBO,7,1,98
Univ Juarez Estado Durango,7,2,96
Univ Leipzig,7,1,263
Univ Malaga,7,12,110
Univ Nacl Patagonia San Juan Bosco,7,14,123
Univ Nebraska,7,9,135
Univ Newcastle,7,4,191
Univ Notre Dame,7,45,390
Univ Oklahoma,7,22,293
Univ Politecn Madrid,7,19,318
Univ Rey Juan Carlos,7,32,350
Univ Stirling,7,13,181
Univ Sunshine Coast,7,6,126
Univ Sydney,7,64,245
Univ Turku,7,15,91
Univ Venda,7,3,329
Univ Victoria,7,6,95
Univ Virginia,7,17,144
Univ Zabol,7,37,167
Univ Zagreb,7,3,64
USDA,7,1,152
Wuhan Univ,7,1,255
Xinjiang Agr Univ,7,5,58
Zhejiang Univ,7,2,155
Alexandru Ioan Cuza Univ,6,12,109
Aligarh Muslim Univ,6,6,208
Arthur Rylah Inst Environm Res,6,220,755
Beni Suef Univ,6,0,79
Bindura Univ Sci Educ,6,3,66
Cent South Univ Forestry & Technol,6,0,113
Chinese Res Inst Environm Sci,6,0,186
Concordia Univ,6,7,138
CREAF,6,48,237
CSIC UCLM JCCM,6,10,266
Ctr Tecnol Forestal Catalunya,6,24,426
Dalian Ocean Univ,6,0,21
Damghan Univ,6,1,5
Daugavpils Univ,6,0,40
Ege Univ,6,0,17
Environm & Climate Change Canada,6,4,62
Field Museum Nat Hist,6,376,1280
Finnish Environm Inst,6,234,1398
Forest Res Inst,6,36,212
Fujian Prov Key Lab Marine Ecol Conservat & Resto,6,1,376
Guangxi Univ,6,0,114
Indian Inst Sci,6,3,98
Indian Stat Inst,6,6,78
INRA,6,22,260
Inst Ecol,6,48,559
Iowa State Univ,6,1,129
Kyungpook Natl Univ,6,0,52
La Trobe Univ,6,1,221
Lebanese Univ,6,6,94
Leibniz Inst Evolut & Biodivers Sci,6,4,110
Lincoln Univ,6,2,205
Malayer Univ,6,8,75
Mekelle Univ,6,14,117
Miami Univ,6,19,70
Minist Hlth,6,0,58
Mohammed V Univ Rabat,6,5,115
Nankai Univ,6,12,242
Natl Biodivers Future Ctr NBFC,6,0,126
Natl Res & Innovat Agcy,6,3,34
Oxford Brookes Univ,6,74,230
Razi Univ,6,14,61
Royal Belgian Inst Nat Sci,6,13,212
Sakarya Univ,6,0,44
Senckenberg Res Inst,6,16,124
Shahjalal Univ Sci & Technol,6,73,221
Shahrekord Univ,6,14,163
Southwest Univ,6,4,70
St Louis Univ,6,46,307
Suez Canal Univ,6,24,138
Swiss Fed Inst Forest Snow & Landscape Res WSL,6,5,96
Swiss Ornithol Inst,6,0,101
Tech Univ Berlin,6,23,141
Tech Univ Carolo Wilhelmina Braunschweig,6,32,273
Tel Aviv Univ,6,7,78
UCL,6,0,72
United Arab Emirates Univ,6,0,68
Univ Andres Bello,6,89,323
Univ Antananarivo,6,2,64
Univ Antwerp,6,8,193
Univ Aquila,6,23,181
Univ Arkansas,6,21,96
Univ Autonoma Estado Morelos,6,0,48
Univ Bari,6,16,252
Univ Bari Aldo Moro,6,2,31
Univ Delhi,6,12,136
Univ Extremadura,6,51,161
Univ Fed Pelotas,6,5,59
Univ Glasgow,6,9,150
Univ Greifswald,6,0,78
Univ Ljubljana,6,6,75
Univ Los Andes,6,8,251
Univ Nacl Comahue,6,18,125
Univ Nat Resources & Life Sci,6,22,203
Univ Nat Resources & Life Sci BOKU,6,12,102
Univ New Mexico,6,2,50
Univ New S Wales,6,157,709
Univ Okara,6,0,75
Univ Palermo,6,3,180
Univ Potsdam,6,15,1428
Univ Sassari,6,0,76
Univ Southampton,6,16,174
Univ Sussex,6,14,131
Univ Tabuk,6,0,427
Univ Texas El Paso,6,6,274
Univ Texas Tyler,6,9,56
Univ Trieste,6,4,88
Univ Tubingen,6,18,492
Victoria Univ Wellington,6,5,72
Vietnam Natl Univ,6,2,34
Yangtze Univ,6,2,43
Zool Survey India,6,0,26
Agr Univ Athens,5,13,78
Akdeniz Univ,5,3,30
Anhui Univ,5,0,26
AT&T Labs Res,5,6650,24615
Aydin Adnan Menderes Univ,5,0,18
Bur Land Management,5,13,73
Cadi Ayyad Univ,5,11,75
Calif Polytech State Univ San Luis Obispo,5,0,189
Cardiff Univ,5,9,101
Carl von Ossietzky Univ Oldenburg,5,6,163
Catholic Univ Avila,5,0,17
Catholic Univ Louvain,5,9,175
Cent China Normal Univ,5,14,131
Charles Darwin Univ,5,2,179
Colegio Frontera Sur,5,0,27
Ctr Ecol & Hydrol,5,66,364
Ctr Environm Fisheries & Aquaculture Sci,5,11,142
Czech Univ Life Sci,5,4,71
East China Normal Univ,5,0,120
El Colegio Frontera Sur,5,6,99
Ewha Womans Univ,5,1,38
Forest Res & Management Org,5,5,57
GB Pant Natl Inst Himalayan Environm,5,8,36
Guangxi Acad Sci,5,1,59
Guizhou Educ Univ,5,0,44
Guizhou Normal Univ,5,2,40
Gyeongsang Natl Univ,5,0,45
Helmholtz Ctr Polar & Marine Res,5,2,111
Idaho Dept Fish & Game,5,1,53
Indian Inst Technol Kharagpur,5,12,130
Inst Nacl Pesquisas Espaciais,5,16,254
Iranian Res Inst Plant Protect,5,4,88
Ist Zooprofilatt Sperimentale Venezie,5,7,110
Istanbul Univ,5,0,23
Jagiellonian Univ,5,18,180
Khon Kaen Univ,5,16,113
King Khalid Univ,5,0,24
Kwara State Univ,5,8,73
Kyushu Univ,5,26,146
Leibniz Inst Freshwater Ecol & Inland Fisheries,5,15,165
London Sch Hyg & Trop Med,5,2,120
McGill Univ,5,149,2907
Midlands State Univ,5,7,149
Minist Agr,5,3,105
Minist Environm & Forestry,5,0,33
Montana State Univ,5,0,36
Museo Sci,5,36,231
N Carolina State Univ,5,112,571
Nanjing Forest Police Coll,5,0,80
Nanjing Univ,5,0,39
Nat Resources Canada,5,16,227
Natl Audubon Soc,5,10,130
Natl Bot Res Inst,5,4,42
Natl Forestry & Grassland Adm,5,0,87
Natl Museums Kenya,5,7,85
NatureServe,5,712,2286
New Mexico Dept Game & Fish,5,1,49
North Eastern Hill Univ,5,3,59
Northwest Minzu Univ,5,0,70
Norwegian Univ Life Sci,5,44,265
Plymouth Marine Lab,5,75,371
Plymouth Univ,5,4,61
PMAS Arid Agr Univ,5,0,38
Qingdao Marine Sci & Technol Ctr,5,0,15
RAS,5,3,62
Royal Bot Garden Edinburgh,5,1,345
Royal Soc Protect Birds,5,65,321
Rubber Res Inst India,5,20,68
Sari Agr Sci & Nat Resources Univ,5,5,24
Shanghai Jiao Tong Univ,5,0,54
Stockholm Univ,5,38,155
SUNY Coll Environm Sci & Forestry,5,1,38
Texas A&M Univ Kingsville,5,2,58
Texas State Univ,5,6,217
Tsinghua Univ,5,9,54
Univ Angers,5,120,1469
Univ Austral Chile,5,3,49
Univ Autonoma Baja California Sur,5,1,53
Univ Autonoma Campeche,5,0,8
Univ Autonoma Chapingo,5,0,68
Univ Autonoma San Luis Potosi,5,1,65
Univ Autonoma Yucatan,5,0,43
Univ Belgrade,5,3,111
Univ Bourgogne Franche Comte,5,3,70
Univ Calcutta,5,1,80
Univ Cantabria,5,6,93
Univ Canterbury,5,11,214
Univ Cincinnati,5,14,129
Univ E Anglia,5,18,385
Univ Eastern Finland,5,6,43
Univ Environm & Sustainable Dev,5,4,13
Univ Estadual Paulista,5,4,240
Univ Fed Mato Grosso,5,0,58
Univ Fed Pelotas UFPEL,5,0,9
Univ Gadjah Mada,5,1,18
Univ Gdansk,5,6,39
Univ Ghana,5,0,32
Univ Hawaii Manoa,5,12,140
Univ Hohenheim,5,13,152
Univ Jendouba,5,7,51
Univ Kashmir,5,5,63
Univ Kentucky,5,22,112
Univ Konstanz,5,0,113
Univ Lethbridge,5,3,55
Univ Liege,5,7,72
Univ Magallanes,5,5,37
Univ Malaya,5,28,199
Univ Manchester,5,0,76
Univ Manitoba,5,8,168
Univ Marburg,5,7,186
Univ Michigan,5,0,216
Univ Munster,5,0,87
Univ Nacl Jujuy,5,6,69
Univ Nacl Mar Del Plata,5,5,49
Univ Nacl Misiones,5,7,244
Univ Nacl Salta,5,9,111
Univ Nairobi,5,0,54
Univ Napoli Federico II,5,39,315
Univ Nova Lisboa,5,3,103
Univ Oulu,5,309,1576
Univ Punjab,5,0,90
Univ Quindio,5,0,56
Univ Roma Tor Vergata,5,3,96
Univ Rostock,5,8,151
Univ Sheffield,5,3,127
Univ Sierra Juarez,5,0,65
Univ St Andrews,5,2,350
Univ Tartu,5,0,49
Univ Technol Sydney,5,6,109
Univ Tecn Estatal Quevedo,5,0,8
Univ Texas Rio Grande Valley,5,1,82
Univ Tours,5,14,590
Univ Tras os Montes & Alto Douro,5,3,48
Univ Utah,5,0,178
Univ Valladolid,5,2,136
Univ Vet Med Vienna,5,9,63
Univ Wollongong,5,9,45
Western Sydney Univ,5,22,118
Woldia Univ,5,0,56
Woods Hole Oceanog Inst,5,7,240
Xiamen Univ,5,2,182
Zhejiang Acad Forestry,5,0,195
Adnan Menderes Univ,4,0,35
AG Zool Garten Koln,4,6,30
Agr Res Educ & Extens Org,4,0,33
Al Azhar Univ,4,0,31
Alma Mater Studiorum Univ Bologna,4,0,12
Amity Univ,4,2,12
Anhui Normal Univ,4,1,19
Ankara Univ,4,0,34
Anqing Normal Univ,4,0,7
AREEO,4,9,141
Assoc Vahatra,4,370,1232
Bavarian Forest Natl Pk,4,1,44
Behbahan Khatam Alanbia Univ Technol,4,3,21
Benemerita Univ Autonoma Puebla,4,0,129
Berlin Brandenburg Inst Adv Biodivers Res BBIB,4,21,170
British Antarctic Survey,4,17,189
Canadian Museum Nat,4,3,70
Canakkale Onsekiz Mart Univ,4,4,15
Capital Normal Univ,4,8,45
Cent Marine Fisheries Res Inst,4,2,12
Cent Queensland Univ,4,8,251
Chengdu Univ Tradit Chinese Med,4,0,300
China Univ Geosci,4,0,99
Chongqing Univ,4,0,287
Chungbuk Natl Univ,4,1,37
CoNISMa,4,7,120
CSIRO Environm,4,12,60
Cukurova Univ,4,1,12
Dagestan State Univ,4,0,41
Dept Biodivers Conservat & Attract,4,0,52
East Tennessee State Univ,4,1,22
Eastern Connecticut State Univ,4,7,74
Eawag Swiss Fed Inst Aquat Sci & Technol,4,5,68
Edith Cowan Univ,4,21,105
Ehime Univ,4,0,34
Embrapa Recursos Genet & Biotecnol,4,5,62
Endangered Wildlife Trust,4,7,78
Fdn Lombardia Ambiente,4,26,155
Fed Univ Para,4,24,310
Fergana State Univ,4,0,8
Florida Atlantic Univ,4,3,17
Florida Fish & Wildlife Conservat Commiss,4,1,27
Florida State Univ,4,45,198
Fraunhofer Inst Mol Biol & Appl Ecol,4,0,25
Fudan Univ,4,0,54
Georgia Inst Technol,4,0,120
Global Change Res Inst AS CR,4,4,61
Guangdong Acad Sci,4,1,40
Guangxi Normal Univ,4,1,108
Guangzhou Univ,4,26,168
Guizhou Univ Tradit Chinese Med,4,0,46
Hawassa Univ,4,0,37
Henan Univ,4,0,99
Hierofalcon Res Grp,4,14,45
Hiroshima Univ,4,0,28
ICAR Cent Inst Subtrop Hort,4,4,33
INPA,4,13,304
INRIA,4,0,106
Inst Biodivers Conservat & Training,4,6,33
Inst Invest Recursos Biol Alexander von Humboldt,4,0,53
Inst Rech Dev,4,21,197
Int Ctr Trop Agr CIAT,4,5,27
ISRO,4,99,289
Ist Super Protez & Ric Ambientale ISPRA,4,0,39
Istanbul Tech Univ,4,0,22
Jazan Univ,4,2,66
Jiangxi Normal Univ,4,1,44
Kafrelsheikh Univ,4,0,16
King Mongkuts Univ Technol Thonburi,4,2,37
Kings Coll London,4,0,44
Kochi Univ,4,1,21
Kongju Natl Univ,4,0,42
KORA,4,7,1190
Kumaun Univ,4,11,48
Kuwait Univ,4,0,31
Landcare Res,4,5,142
Leibniz Inst Anal Biodivers Change,4,0,14
Leibniz Inst Primate Res,4,6,53
Lomonosov Moscow State Univ,4,6,29
Lund Univ,4,1,127
Martin Luther Univ Halle Wittenberg,4,4,114
Massey Univ,4,31,155
Mendel Univ Brno,4,0,60
Minist Forests & Environm,4,0,102
Minist Publ Hlth,4,10,65
Minnesota Dept Nat Resources,4,4,35
Museo Nacl Ciencias Nat CSIC,4,28,275
Nanchang Univ,4,0,5
Nanjing Agr Univ,4,0,37
Nat Resources Inst Finland,4,4,69
Natl & Kapodistrian Univ Athens,4,1,193
