"Author","Recs","LCS","GCS"
"Becerra-López JL",1,0,18
"Bellin N",2,0,18
"Bidegain G",1,0,18
"Bindi M",1,0,18
"Blevins E",1,2,18
"Brantschen J",1,0,18
"Brazeau S",1,0,18
"Brinker A",1,0,18
"Brzozowski M",1,0,18
"Buren A",1,4,18
"Bye R",1,4,18
"Calixto-Rojas M",1,0,18
"Castelar B",1,2,18
"Catolfi F",1,0,18
"Cavalcante ADB",1,0,18
"Chang YL",1,0,18
"Chen J",4,0,18
"Chen SR",1,0,18
"Chen YL",3,0,18
"Chick A",1,3,18
"Cho KH",1,0,18
"Choi W",1,0,18
"Commerford JL",1,2,18
"Cooke S",1,0,18
"Cooper ML",2,3,18
"Davie H",1,0,18
"de León GPP",1,0,18
"DeMatteo K",1,4,18
"Deng JF",1,0,18
"Di Bitetti MS",1,4,18
"Dibari C",1,0,18
"Djotan GK",1,9,18
"Duarte A",1,0,18
"Dullo BW",2,0,18
"Duncan MI",1,0,18
"Eddy ZB",1,2,18
"Edwards C",1,1,18
"El Alaoui O",2,0,18
"Elverici C",1,2,18
"Farhadinia MS",1,1,18
"Favi GA",3,4,18
"Feldmeier S",1,2,18
"Fergnani PN",1,2,18
"Ferreira MR",2,0,18
"Flores-Tolentino M",3,0,18
"Freund KA",1,0,18
"Frias-De-Diego A",1,2,18
"Fuentes-Yaco C",1,4,18
"Fukushima M",1,1,18
"Gaier AG",1,0,18
"Gibson LA",1,0,18
"Gillich B",1,0,18
"Giménez AL",1,1,18
"Glenn EM",1,1,18
"Gnanguènon-Guéssè D",1,9,18
"Gonzalez-Mirelis G",1,0,18
"González-Ferreras AM",1,0,18
"González-Hernández A",1,0,18
"Graeser P",1,1,18
"Gudex-Cross D",1,0,18
"Harmon CL",1,0,18
"Harmon P",1,0,18
"Harris C",1,1,18
"Hayat U",2,0,18
"Heinemann G",1,2,18
"Hendrickx G",3,0,18
"Hernández MDM",1,0,18
"Hernández-Baz F",1,0,18
"Hernández-Herrera JA",1,0,18
"Hilts DJ",1,1,18
"Hollen B",1,1,18
"Holmes I",1,0,18
"Holzmann I",1,4,18
"Ichinose T",1,1,18
"Irisson JO",2,0,18
"Ishii J",1,1,18
"Islas-Trejo B",1,0,18
"Itagawa S",1,1,18
"Jafari A",1,8,18
"James NC",1,0,18
"Jang CJ",1,0,18
"Jara M",1,2,18
"Jenkins JMA",1,0,18
"Jiang JP",2,0,18
"Jiang K",2,2,18
"Jin JW",1,0,18
"Johnston KM",1,0,18
"Kakpo SB",2,9,18
"Kavhu B",4,0,18
"Kellenberger B",2,0,18
"Kennedy ES",1,3,18
"Keyser SR",1,0,18
"Kim JJ",1,0,18
"Kim YO",1,0,18
"Kinloch JE",1,0,18
"Kishore BSPC",1,0,18
"Kluth G",1,0,18
"Knauer F",1,0,18
"Koo YM",1,0,18
"Korb S",1,0,18
"Kotchi SO",1,0,18
"Koura K",1,9,18
"Kouwenberg AL",1,4,18
"Kramp K",1,0,18
"Kusak J",2,0,18
"Laituri MJ",1,0,18
"Lawson J",1,4,18
"Lentz DL",1,4,18
"Levin ML",1,0,18
"Liu H",2,0,18
"Liu JN",2,0,18
"Liu W",3,0,18
"Louvrier J",1,0,18
"Ludwig A",1,0,18
"López-Quílez A",2,0,18
"Machado G",1,2,18
"Magnuson EE",1,0,18
"Manzanilla-Quiñones U",1,0,18
"Marotte E",1,4,18
"Marshall BM",1,0,18
"Martin GM",1,1,18
"Martinson EJ",1,2,18
"McLaren K",1,0,18
"McLauchlan KK",1,2,18
"Mehler K",2,4,18
"Mendoza-Carranza M",1,0,18
"Mirzaei R",2,8,18
"Mokany K",1,0,18
"Moors-Murphy H",1,4,18
"Morales-Villafaña R",1,0,18
"Moriondo M",1,0,18
"Moritz C",1,0,18
"Mutambu S",1,2,18
"Naghipour AA",3,6,18
"Nava S",1,0,18
"Nishigaki M",1,1,18
"Nneji LM",1,4,18
"Oexle S",1,0,18
"Oladipo SO",1,4,18
"Olmstead J",1,0,18
"Omotoso O",1,4,18
"Onadeko AB",1,4,18
"Ottewell KM",1,0,18
"Pangle KL",1,1,18
"Park J",2,1,18
"Pauli JN",1,0,18
"Pelechaty M",1,0,18
"Penteriani V",2,0,18
"Peñas FJ",1,0,18
"Pfeifer MA",1,2,18
"Pinacho-Pinacho CD",1,0,18
"Poopatanapong A",1,1,18
"Popovic M",2,3,18
"Potts WM",1,0,18
"Prevosti FJ",1,1,18
"Pérez-Miranda R",1,0,18
"Rameshprabu N",1,5,18
"Reinhardt I",1,0,18
"Reis RP",1,2,18
"Resasco J",1,0,18
"Rieger S",1,0,18
"Rodiles-Hernández R",1,0,18
"Rodriges RO",1,2,18
"Rolfsmeier SJ",1,2,18
"Romero-Sánchez ME",1,0,18
"Ros A",1,0,18
"Rossi V",2,0,18
"Rubio-Godoy M",1,0,18
"Ruff ZJ",1,0,18
"Rustam",4,0,18
"Sadeghi M",2,0,18
"Sahariah D",2,8,18
"Sanhueza J",1,2,18
"Santos MH",1,0,18
"Sauz-Sánchez JD",1,0,18
"Scheele BC",1,1,18
"Schefczyk L",1,2,18
"Schiaffini MI",1,1,18
"Schmitz OJ",1,0,18
"Searle K",1,1,18
"Shahsavarzadeh R",1,1,18
"Sharma A",2,4,18
"Shaw RE",1,0,18
"Shi L",5,0,18
"Sohn D",1,0,18
"Sopniewski J",1,1,18
"Spencer PB",1,0,18
"Stagliano N",1,0,18
"Steyer K",1,0,18
"Stier N",1,0,18
"Strine CT",1,0,18
"Swamy PS",1,5,18
"Takekawa JY",2,0,18
"Travouillon KJ",1,0,18
"Trigo D",1,3,18
"Trindade WCF",1,0,18
"Tuia D",2,0,18
"Udyawer V",2,0,18
"Ugwumba AAA",1,4,18
"Uzarski DG",1,1,18
"Valente JJ",1,0,18
"Valentini A",1,0,18
"van der Werf W",1,0,18
"van Tiel N",2,0,18
"Velázquez-Pérez AH",1,0,18
"Vetaas OR",2,3,18
"Virgili A",1,0,18
"Weldy MJ",1,0,18
"Wenzler-Meya M",1,0,18
"Werenkraut V",1,2,18
"Wimmer T",1,4,18
"Xu W",1,0,18
"Yamada Y",1,1,18
"Yan DH",2,0,18
"Yan WF",1,0,18
"Yang TL",1,0,18
"Yoshida T",1,1,18
"Yoshimizu MH",1,2,18
"Zamani-Ahmadmahmoodi R",1,8,18
"Zbinden R",2,0,18
"Zelenev VV",1,0,18
"Zha JJ",1,0,18
"Zheng YA",1,0,18
"Zhu SM",1,0,18
"Zhu TS",1,0,18
"Zong S",1,0,18
"Zuckerberg B",1,0,18
"Abad-Uribarren A",1,0,17
"Acarer A",2,0,17
"Adorf F",2,3,17
"Aghighi H",1,6,17
"Alia-Tejacal I",1,0,17
"Allen AN",1,0,17
"Alírio J",4,1,17
"Anderson BJ",1,0,17
"Arnell AP",1,0,17
"Athanasiou LV",1,0,17
"Avila LJ",1,1,17
"Azrag AGA",3,5,17
"Bald L",3,0,17
"Bangelesa F",1,0,17
"Barbier E",1,0,17
"Baudena A",1,0,17
"Baughman C",1,0,17
"Baughman O",1,0,17
"Bayne EM",2,0,17
"Bedar J",1,0,17
"Beltran M",1,0,17
"Beszteri B",1,2,17
"Bettega C",1,0,17
"Bhavsar D",1,6,17
"Binggeli A",1,0,17
"Bobo ED",2,1,17
"Bonke R",1,3,17
"Bortolamiol S",1,0,17
"Brewer MJ",1,0,17
"Broadley HJ",2,1,17
"Brown DJ",3,0,17
"Brunsell NA",1,2,17
"Burriel AR",1,0,17
"Cadima X",1,0,17
"Carricaburu JC",1,0,17
"Castañeda G",1,2,17
"Castro-Llanos F",2,0,17
"Chaibva P",1,0,17
"Chandora R",1,4,17
"Chauhan S",1,8,17
"Chawla A",2,0,17
"Chen BY",1,2,17
"Chen M",1,1,17
"Cheng LF",2,0,17
"Chidumayo E",1,2,17
"Choi G",1,0,17
"Ciarleglio M",1,0,17
"Cobo A",1,0,17
"Cohen M",1,0,17
"Cramer MD",1,1,17
"Cuevas XG",1,3,17
"Cushing PE",2,2,17
"D'Acunto LE",1,3,17
"da Silva PH",2,0,17
"Dai QL",1,0,17
"de la Garza OH",1,2,17
"de Queiroz TF",1,0,17
"DeLuca WV",1,1,17
"Deng T",3,0,17
"Di Stefano J",1,2,17
"Ding YZ",1,0,17
"Doddachowdappa S",1,0,17
"Dou HL",2,0,17
"Du ZX",2,0,17
"Dubois T",2,1,17
"Dudov S",1,6,17
"Fang PF",1,0,17
"Feldman RE",1,1,17
"Feng YQ",2,0,17
"Floyd TM",1,7,17
"Fontanilles P",1,0,17
"Fu AH",1,0,17
"Gadsden H",1,2,17
"Gao CX",2,0,17
"Gao CY",2,0,17
"Gao HL",1,2,17
"Gao HY",2,0,17
"Gara M",1,0,17
"García L",3,0,17
"García-De la Peña C",1,2,17
"Gardenal CN",1,0,17
"Garrett KA",2,1,17
"Gasanov M",1,0,17
"Georges JY",3,0,17
"Ghoshal S",1,8,17
"Gomez-Ballesteros M",1,0,17
"González-Ittig RE",1,0,17
"Grillo M",3,0,17
"Guo WY",1,0,17
"Habib B",2,1,17
"Haider MS",1,0,17
"Hao XQ",1,2,17
"Hazzi NA",1,0,17
"Hernando MD",1,0,17
"Hernández-Máximo E",1,3,17
"Hertig E",1,0,17
"Hill SE",1,0,17
"Hillen J",2,3,17
"Holopainen M",1,2,17
"Holsinger LM",1,0,17
"Hong Z",1,2,17
"Hormiga G",1,0,17
"Hu DZ",1,0,17
"Hu FX",1,0,17
"Hua Y",2,0,17
"Hulagappa T",1,0,17
"Iverson LR",1,2,17
"Jakubowska-Gabara J",1,0,17
"Jia P",1,0,17
"Jubert A",1,3,17
"Junchompoo C",1,1,17
"Jung JK",1,0,17
"Jutapruet S",1,1,17
"Jähnig SC",2,4,17
"Kang JH",2,0,17
"Kanishka RC",1,4,17
"Kantere M",1,0,17
"Kawamichi T",1,0,17
"Keane RE",1,0,17
"Khine PK",1,0,17
"Kiedrzynska E",1,0,17
"Kiedrzynski M",1,0,17
"Kiesel J",2,4,17
"King DI",1,1,17
"Kittiwattanawong K",1,1,17
"Kmecl P",1,0,17
"Korner F",1,0,17
"Krief S",1,0,17
"Krystufek B",2,2,17
"Kubiak BB",1,0,17
"Kusch A",1,0,17
"Laubhan MK",1,1,17
"Lee SK",3,2,17
"Lemos-Espinal JA",1,2,17
"Li RA",1,0,17
"Li RQ",1,0,17
"Li WB",2,0,17
"Lin YC",2,0,17
"Lindner R",1,0,17
"Liu DT",2,0,17
"Loehman R",1,0,17
"Lombard F",1,0,17
"Ludwick D",1,2,17
"Luo YM",2,3,17
"Lyon NJ",1,0,17
"Lyytikäinen-Saarenmaa P",1,2,17
"López DS",1,3,17
"Ma DF",1,0,17
"Majumdar K",3,1,17
"Makki T",1,6,17
"Mallaiah KK",1,0,17
"Man L",1,0,17
"Martin C",1,2,17
"Mastrototaro F",2,1,17
"Matkan AA",1,6,17
"Mbindo K",1,2,17
"McCullough JLK",1,0,17
"McMahon LA",1,0,17
"Megna YS",2,1,17
"Merkenschlager C",1,0,17
"Midgley JJ",1,1,17
"Minoli I",1,1,17
"Morando M",1,1,17
"Moullec F",1,0,17
"Mulhall SJ",1,2,17
"Mutascio HE",1,3,17
"Nagy K",2,6,17
"Nam HK",1,0,17
"Nandi SK",1,6,17
"Niassy S",3,1,17
"Nigam P",2,1,17
"Nogareda C",1,3,17
"Noronha SE",1,5,17
"Norris ES",1,0,17
"Nottingham S",1,6,17
"Ohlemüller R",1,0,17
"Oleson EM",1,0,17
"Onofre KFA",2,1,17
"Ou GL",1,0,17
"Paeth H",1,0,17
"Panda RM",2,6,17
"Pandav B",2,1,17
"Pande V",1,6,17
"Papier CM",1,0,17
"Patiño F",1,0,17
"Pedrotti ML",1,0,17
"Pelletier J",1,2,17
"Pelletier TA",1,6,17
"Pennec F",1,0,17
"Pertel W",1,3,17
"Peters MP",1,2,17
"Phimmachak S",1,0,17
"Pinkernell S",1,2,17
"Pinto JRR",1,5,17
"Pittman SE",1,3,17
"Prado E",1,0,17
"Prasad AM",1,2,17
"Pryke JS",1,0,17
"Pukalchik M",1,0,17
"Pérez-de la NB",1,0,17
"Pöhacker J",1,0,17
"Raghavendra D",1,0,17
"Raj K",3,0,17
"Ralston J",1,1,17
"Ramos AH",1,3,17
"Ramos JH",1,3,17
"Ramírez-Bustos II",1,0,17
"Ran WW",4,2,17
"Rangwala I",1,0,17
"Ren ZP",2,0,17
"Resano-Mayor J",1,0,17
"Riul P",2,3,17
"Rizwan M",1,0,17
"Rodriguez-Basalo A",1,0,17
"Roy A",1,6,17
"Rubinic B",1,0,17
"Saarenmaa H",1,2,17
"Saina JK",1,0,17
"Sakornwimon W",1,1,17
"Samways MJ",1,0,17
"Sanchez F",1,0,17
"Santamarina S",2,0,17
"Santos RR",1,3,17
"Sarikaya O",3,10,17
"Schano C",1,0,17
"Schatz AM",1,0,17
"Schiaparelli S",3,0,17
"Seamster VA",2,1,17
"Seguya A",1,0,17
"Shadrin D",1,0,17
"Shaltout K",2,4,17
"Sharma R",4,2,17
"Sheinvar L",1,0,17
"Siampale A",1,2,17
"Sierra S",1,0,17
"Sill SR",1,0,17
"Silva TR",1,5,17
"Singh D",1,4,17
"Sitters H",1,2,17
"Sivongxay N",1,0,17
"Sokos C",1,0,17
"Son SJ",1,0,17
"Song YH",5,2,17
"Stratmann TSM",1,7,17
"Strinella E",1,0,17
"Su QT",2,0,17
"Sun S",2,0,17
"Sun WB",2,0,17
"Surpur S",1,0,17
"Svensson MS",1,0,17
"Tang XP",1,0,17
"Tariq M",1,6,17
"Teimori A",1,6,17
"Teofanova D",1,3,17
"Teufelbauer N",1,0,17
"Theissinger K",3,0,17
"Theron KJ",1,0,17
"Torres J",2,0,17
"Trainor A",1,2,17
"Tregubova P",1,0,17
"Tsokana CN",1,0,17
"Uicab JVC",1,3,17
"Uys VM",1,1,17
"Vaschetto LM",1,0,17
"Velázquez J",5,0,17
"von Holdt JRC",1,1,17
"Wang HC",3,0,17
"Wang JD",1,0,17
"Wang LG",1,0,17
"Wang W",5,0,17
"Wang YH",3,0,17
"Wilkening JL",1,0,17
"Williams N",1,0,17
"Winder IC",1,0,17
"Wren JLK",1,0,17
"Wu YQ",1,2,17
"Wu ZJ",1,0,17
"Xiao YA",2,0,17
"Xu WH",1,0,17
"Xu YF",2,0,17
"Yoo N",1,0,17
"Yuan SJ",1,2,17
"Zeuss D",4,0,17
"Zhan ZJ",1,0,17
"Zhang HJ",3,0,17
"Zhang TX",2,0,17
"Zhang YJ",5,0,17
"Zhong J",1,2,17
"Zhou B",2,0,17
"Zhou YX",2,0,17
"Zielinska KM",1,0,17
"Zollner PA",1,3,17
"Zou ZR",2,0,17
"Çiçek K",6,0,17
"Özcan AU",5,0,17
"Afroosheh M",1,2,16
"Ajani PA",1,0,16
"Ajorlo M",1,0,16
"Alemu SW",2,0,16
"Alonso-Redondo R",1,0,16
"Amat F",1,0,16
"Andrade-Piedra JL",1,1,16
"Ardoin NM",1,1,16
"Armitage DW",1,0,16
"Arotolu TE",2,0,16
"Ashford OS",1,2,16
"Astaras C",1,0,16
"Athni TS",2,0,16
"Avci M",2,0,16
"Bacigalupe LD",1,0,16
"Banik D",2,0,16
"Barquín-Diez J",1,0,16
"Barrera CSV",1,0,16
"Bastiaansen JWM",2,0,16
"Beauprez GM",1,0,16
"Belcik M",1,2,16
"Biltekin D",2,0,16
"Blandford BL",1,9,16
"Boal CW",1,0,16
"Boumezzough A",2,0,16
"Bourque SD",1,0,16
"Boussaa S",2,0,16
"Boutry S",1,0,16
"Boutsis G",1,0,16
"Broadley S",1,8,16
"Brodrick PG",1,1,16
"Buddenhagen CE",1,1,16
"Buhlmann KA",1,0,16
"Butler MJ",1,0,16
"Camp CD",1,0,16
"Cao JP",1,0,16
"Chaves LF",2,2,16
"Chaves LJ",1,2,16
"Chen QL",1,0,16
"Chou E",1,4,16
"Choudhury RA",1,1,16
"Chuang TW",2,0,16
"Ciach M",1,2,16
"Coca-Abia MM",1,1,16
"Collette LKD",1,2,16
"Collins T",1,4,16
"Coudrat C",1,4,16
"Cree A",1,1,16
"Cunningham AA",1,0,16
"Cursach J",1,2,16
"Cuttitta A",1,0,16
"Dai LB",1,0,16
"Davies SC",1,0,16
"de Lima VVF",1,0,16
"Denton RD",1,0,16
"Dong ZK",1,0,16
"Drouineau H",1,0,16
"El-Khalafy MM",4,0,16
"El-Makawy AM",1,3,16
"Estay SA",1,0,16
"Etherton BA",1,1,16
"Fakhry AM",1,3,16
"Far AJ",1,2,16
"Fei S",1,9,16
"Ficklin DL",1,3,16
"Fields C",1,0,16
"Finkel ZV",1,0,16
"Flint WD",1,0,16
"Fong MY",1,0,16
"Forbes GA",1,1,16
"Forio MAE",2,0,16
"Fornel R",1,0,16
"Fries AC",1,0,16
"Fuentes-Pérez JF",1,0,16
"Gaertner JA",1,1,16
"Galanaki A",1,0,16
"García-González ME",1,0,16
"García-Vega A",1,0,16
"Gazis IZ",1,0,16
"Glidden CK",2,0,16
"Goczal J",1,2,16
"Gonser RA",1,0,16
"Grattarola F",1,0,16
"Gregr EJ",1,0,16
"Greinert J",1,0,16
"Grossardt T",1,9,16
"Guan YY",1,0,16
"Guo C",2,0,16
"Gupta A",1,0,16
"Haggarty DR",1,0,16
"Hamid MHB",1,0,16
"Han DY",1,0,16
"Hansen MC",1,0,16
"Hanski I",1,3,16
"Hao CY",1,1,16
"Harrison PA",1,5,16
"Hayashibara T",1,0,16
"He XZ",1,0,16
"Henault JA",1,2,16
"Heneidy SZ",1,3,16
"Heraghty SD",1,0,16
"Herrera R",1,0,16
"Hodgdon C",1,0,16
"Hooper S",1,0,16
"Hu YQ",1,3,16
"Huh JH",1,0,16
"Jacobsen CD",1,0,16
"Jantz SM",1,0,16
"Janus A",1,0,16
"Jelip J",1,0,16
"Jiang YY",2,0,16
"Jiménez FA",2,0,16
"Jokinen M",1,3,16
"Jones DOB",1,2,16
"Jordan GJ",1,5,16
"Jung JB",1,0,16
"Kaminski MJ",2,1,16
"Kandel K",1,4,16
"Kang L",2,0,16
"Kebede FG",2,0,16
"Keith DA",1,0,16
"Kennedy RE",1,0,16
"Kindong R",1,0,16
"Kiyota M",1,0,16
"Klute D",1,0,16
"Komen H",2,0,16
"Kominos T",1,0,16
"Konwar P",2,0,16
"Kou XJ",1,0,16
"Koubbi P",1,0,16
"Krock B",1,0,16
"Kromann P",1,1,16
"Kruijer H",1,1,16
"Kruusmaa M",1,0,16
"Krüger AP",1,0,16
"Kyle SC",1,0,16
"Lambert P",1,0,16
"Lau YL",1,0,16
"Lavoie C",1,1,16
"Lessard J",1,0,16
"Li CF",2,1,16
"Li DD",1,0,16
"Llorente V",1,1,16
"Lulla V",1,0,16
"Ma QY",1,0,16
"Ma YY",1,0,16
"Mafuwe K",1,8,16
"Mahony MJ",1,0,16
"Manzanedo RD",1,0,16
"Markus A",1,0,16
"Martellos S",2,1,16
"Maxwell SM",1,4,16
"McCovey K",1,0,16
"McGinty N",1,0,16
"Migli D",1,0,16
"Min MS",2,2,16
"Mitchell JC",1,0,16
"Miyamoto M",1,0,16
"Mockford SW",1,0,16
"Moen R",1,0,16
"Mohamed HF",1,0,16
"Mongare R",2,1,16
"Mordecai EA",2,0,16
"Morehouse RL",2,1,16
"Moro-Abad L",1,0,16
"Moyo S",1,8,16
"Mucioki M",1,0,16
"Mudin RNB",1,0,16
"Murase H",1,0,16
"Mursidawati S",1,0,16
"Mysliwy M",1,0,16
"Nackoney J",1,0,16
"Nahrung HF",1,0,16
"Nakamura T",1,0,16
"Navarrete I",1,1,16
"Navarro N",1,0,16
"Naves RV",1,2,16
"Neupane D",2,0,16
"Nguyen TH",2,9,16
"Niemiec RM",1,1,16
"Numminen E",1,3,16
"Otieno BA",1,0,16
"Palacios-Rodriguez G",1,0,16
"Palasio RGS",2,0,16
"Pandey MK",1,0,16
"Park GE",1,0,16
"Patti B",1,0,16
"Pauley TK",2,0,16
"Paumier A",1,0,16
"Penafiel-Ricaurte A",1,0,16
"Penman TD",1,0,16
"Phang WK",1,0,16
"Pintea L",1,0,16
"Pither J",1,2,16
"Pitman J",1,0,16
"Pittao E",2,1,16
"Prudic KL",2,0,16
"Pérez GT",1,0,16
"Pérez MS",1,0,16
"Qu H",1,5,16
"Qu J",1,0,16
"Quinci EM",1,0,16
"Rajan S",3,4,16
"Rammou DL",1,0,16
"Ramos E",2,0,16
"Rana P",2,6,16
"Regan TJ",1,0,16
"Rewicz A",1,0,16
"Rewicz T",1,0,16
"Ripy JB",1,9,16
"Roberts JJ",1,0,16
"Rodríguez-Rey M",1,0,16
"Rosenbaum HC",1,4,16
"Ross CH",1,0,16
"Ruiz M",1,2,16
"Runge JA",1,0,16
"Rutrough A",1,2,16
"Sahu N",2,0,16
"Saltré F",1,1,16
"Sangil C",1,0,16
"Sanz-Ronda FJ",1,0,16
"Sarna-Wojcicki D",1,0,16
"Scariot A",1,0,16
"Schofield PJ",1,1,16
"Schulte-Geldermann E",1,1,16
"Scofield RP",1,1,16
"Senn J",2,3,16
"Sevilha AC",1,0,16
"Shekede MD",2,1,16
"Shen YJ",1,0,16
"Shi X",2,4,16
"Shin Y",5,1,16
"Shiroyama R",2,2,16
"Soares TN",2,2,16
"Sosa-Gutiérrez C",1,0,16
"Soto-Azta C",1,0,16
"Sowerwine J",1,0,16
"Stech M",1,1,16
"Steinbauer MJ",1,0,16
"Strindberg S",1,4,16
"Stryszowska-Hill KM",1,0,16
"Sulá AIP",1,1,16
"Sánchez-Salguero R",1,0,16
"Tan LH",1,1,16
"Teixeira CM",2,0,16
"Telles MPC",1,2,16
"Thakur PK",2,0,16
"Thomas-Sharma S",1,1,16
"Tian SQ",1,0,16
"Timmer J",1,0,16
"Tobler M",2,1,16
"Torri M",1,0,16
"Tsutsumi M",1,0,16
"Tuan R",2,0,16
"Tuhtan JA",1,0,16
"Turvey ST",3,1,16
"Um Y",1,0,16
"Vaissi S",1,2,16
"Valenzuela-Sánchez A",1,0,16
"Vallejo-Trujillo A",2,0,16
"Valois ZJ",1,2,16
"Van Pelt WE",1,0,16
"VanCompernolle M",1,3,16
"VanderWaal KL",1,0,16
"Vaz UL",1,1,16
"Veera SNS",1,6,16
"Veneros J",2,0,16
"Vieira TB",2,0,16
"Vigouroux T",1,1,16
"Vogiatzakis IN",2,0,16
"Vásquez IA",1,0,16
"Vásquez-Aguilar AA",2,0,16
"Wang FG",2,1,16
"Wang LC",1,0,16
"Wang RH",2,0,16
"Ware J",2,3,16
"Wood DA",1,2,16
"Wooten JA",1,0,16
"Worth JRP",1,5,16
"Wu HS",1,1,16
"Wu L",6,0,16
"Wu WP",1,0,16
"Xi BY",1,0,16
"Xiao JM",1,0,16
"Xing Y",1,1,16
"Yang JF",1,1,16
"Yu JSD",1,0,16
"Zhai L",2,0,16
"Zhang FX",6,0,16
"Zhang MH",2,0,16
"Zhang SN",2,1,16
"Zhang YH",3,0,16
"Zhao CY",1,2,16
"Zheng WQ",1,1,16
"Zhong Y",2,0,16
"Zhou YT",2,0,16
"Zhu DP",1,0,16
"Örücü  OK",1,0,16
"Abd-Allah EF",1,0,15
"Abe S",1,0,15
"Acedo C",1,0,15
"Adams EC",1,0,15
"Adavoudi R",1,0,15
"Akutse KS",2,1,15
"Alcaraz-Segura D",1,0,15
"Alemayehu B",1,0,15
"Almodarresi A",1,1,15
"Alvarez G",1,1,15
"Amador-Alcalá S",1,0,15
"Amaro GC",5,4,15
"Amininasab SM",3,3,15
"Amorim A",1,0,15
"Andrews C",1,0,15
"Araque A",1,0,15
"Arque-Chunga W",1,0,15
"Athanasakopoulou Z",1,0,15
"Bajat B",1,0,15
"Balbuena-Serrano A",1,0,15
"Ballesteros M",1,0,15
"Barros-Rosa L",1,0,15
"Bartek JM",1,2,15
"Baruah UD",1,8,15
"Bauer B",1,0,15
"Bawri A",1,8,15
"Bayles BR",1,2,15
"Bernard RTF",1,0,15
"Biddle R",1,4,15
"Bonello P",2,1,15
"Borthakur SK",1,5,15
"Bos M",1,2,15
"Bovcon ND",1,0,15
"Brown AL",1,0,15
"Caballero A",1,0,15
"Cai XW",1,4,15
"Caroli P",1,3,15
"Carrera-Treviño R",1,0,15
"Carreón-Arroyo G",1,0,15
"Carter JR",1,2,15
"Cedrola PV",1,0,15
"Chapple S",1,0,15
"Chaskopoulou A",1,0,15
"Chen EB",1,0,15
"Chen FY",2,0,15
"Chen ZL",3,0,15
"Cheng J",1,0,15
"Cheverría-Pacheco L",1,0,15
"Chirenda J",1,1,15
"Cianciullo S",1,3,15
"Cipriano C",1,0,15
"Cobb NS",1,4,15
"Coller NM",1,0,15
"Colonello JH",1,0,15
"Comino E",2,0,15
"Cortés F",2,0,15
"Cuervo-Robayo AP",3,0,15
"Cáceres AG",1,0,15
"D'Amato AW",1,0,15
"Davies-Mostert HT",1,0,15
"de Arruda PHZ",1,0,15
"de Groot GA",1,2,15
"De Wysiecki AM",2,0,15
"Deadwyler MC",1,0,15
"Deka K",1,5,15
"Devi A",3,0,15
"Dhami B",2,0,15
"Diamantopoulos V",1,0,15
"Didier KA",1,0,15
"Dixon KW",1,1,15
"Dorr BS",1,5,15
"Edvardsen A",1,4,15
"Eisenlohr PV",2,0,15
"Elmoor-Loureiro LMA",1,1,15
"Esswein ST",1,5,15
"Ewald J",1,1,15
"Fajardo-Yamamoto A",1,0,15
"Farr DR",1,0,15
"Fekrat L",1,0,15
"Feng XN",2,0,15
"Fenollosa E",2,0,15
"Fernandes-Salvador JA",1,0,15
"Fernández-Ceular A",1,0,15
"Fisher RJ",1,0,15
"Fisher-Phelps M",1,0,15
"Flores A",1,0,15
"Foster JR",1,0,15
"Franch M",2,0,15
"Gaggiotti OE",1,1,15
"Galamatis D",1,0,15
"García-Aguilar MC",1,0,15
"Georgakopoulos G",1,0,15
"Ghosh T",1,0,15
"Giantsis IA",1,0,15
"Gibbs PM",1,0,15
"Glon HE",1,2,15
"Goienetxea I",1,0,15
"Goikoetxea N",1,0,15
"Gon N",1,0,15
"Granado I",1,0,15
"Guglielmo L",2,0,15
"Gutiérrez JD",1,0,15
"Gutiérrez R",1,0,15
"Haines ML",1,0,15
"Hale J",1,0,15
"Harings NM",1,1,15
"Hashem A",1,0,15
"Heath ACG",1,8,15
"Hernández-Guzmán R",2,0,15
"Homechaudhuri S",1,0,15
"Hou YF",1,4,15
"Houniet DT",1,0,15
"Hu XY",1,4,15
"Huang JL",1,0,15
"Hussain SA",1,0,15
"Häring T",1,1,15
"Ibaibarriaga L",1,0,15
"Irigoyen AJ",1,0,15
"Islam K",2,6,15
"Islam KN",2,6,15
"Jain A",2,0,15
"Jang Y",3,1,15
"Jaureguizar AJ",2,0,15
"Johnson RJ",1,5,15
"Julaie L",1,0,15
"Kalita B",1,8,15
"Kan W",2,0,15
"Kaseloo EA",1,0,15
"Kasera K",1,0,15
"Kiema J",1,0,15
"Kilibarda M",1,0,15
"Kingston T",1,0,15
"Kiser AH",2,0,15
"Kleijn D",1,2,15
"Kotov AA",1,1,15
"Kotzé I",1,3,15
"Krause CM",1,4,15
"Kritas SK",1,0,15
"Kruger SE",1,0,15
"Krunic N",1,0,15
"Kuraru S",1,0,15
"Latham OC",1,0,15
"Lawrence KE",1,8,15
"Lin BR",1,0,15
"Linden J",1,2,15
"Liu CX",3,1,15
"Liu DS",2,1,15
"Llamas F",1,0,15
"Lorah PA",1,0,15
"Lorini ML",1,2,15
"Luo GH",1,0,15
"Luo GM",3,2,15
"López-Díaz JOM",1,0,15
"López-Ordoñez T",2,0,15
"Ma FZ",2,0,15
"Machado NG",1,0,15
"Magrini S",1,0,15
"Makino T",1,0,15
"Marais C",1,3,15
"Marchesani N",1,0,15
"Marsden S",1,4,15
"Martínez-Vega RA",1,0,15
